"영업월","역사","승하차 구분","00시 통행량","01시 통행량","02시 통행량","03시 통행량","04시 통행량","05시 통행량","06시 통행량","07시 통행량","08시 통행량","09시 통행량","10시 통행량","11시 통행량","12시 통행량","13시 통행량","14시 통행량","15시 통행량","16시 통행량","17시 통행량","18시 통행량","19시 통행량","20시 통행량","21시 통행량","22시 통행량","23시 통행량"
"2024-12","갑천역","하차","73","0","0","0","5","147","538","1083","2630","1161","1325","1348","1637","1542","1516","1730","2121","2202","3516","1883","1379","1394","1078","735"
"2024-12","구암역","승차","17","0","0","0","2","1285","2024","5039","10282","5375","4964","5866","5310","6103","6415","6589","6942","6429","6910","3811","3028","2160","1481","602"
"2024-12","구암역","하차","181","0","0","0","1","295","1502","3342","5633","4555","5081","5498","5519","5428","5782","6178","6674","8119","9673","4461","3927","3736","2574","1500"
"2024-12","노은역","승차","83","0","0","0","0","974","2210","7021","11911","6592","6141","6531","7773","7359","7181","8224","9614","10616","10557","6089","5524","5245","4308","2157"
"2024-12","노은역","하차","557","0","0","0","0","393","969","3909","7808","7431","5218","5474","6417","8280","8384","8997","11638","11796","15838","8145","5958","6006","4940","2766"
"2024-12","대동역","승차","21","11","0","0","20","2368","3536","9655","14994","7801","7028","6530","7255","7040","6675","7189","10010","10194","9129","4064","2828","2340","1510","1093"
"2024-12","대동역","하차","498","11","0","0","18","584","941","3962","8351","4706","3964","4044","4513","5023","5526","6503","7590","8707","12464","6084","5438","6205","5131","3770"
"2024-12","대전역","승차","48","0","2","0","16","666","3246","10675","17977","16106","18155","19950","21163","21512","24390","28397","29234","31584","27831","20748","16701","17672","12928","7194"
"2024-12","대전역","하차","146","0","1","0","16","3324","8875","17939","25674","21806","21889","24888","21462","23679","23676","23758","25253","22871","23968","13756","11473","7798","3808","1691"
"2024-12","반석역","승차","3","0","0","0","0","1755","4960","18931","27293","15700","11594","11229","11078","11899","10873","11990","14063","17360","20778","8956","7410","7464","6023","3126"
"2024-12","반석역","하차","1014","0","0","0","0","1180","4085","9548","14518","7055","5697","7097","8272","9773","10087","12219","15906","21502","26467","11745","11059","12486","10611","4986"
"2024-12","서대전네거리역","승차","39","0","0","0","51","2488","3877","10119","19851","9170","9013","9731","9779","10607","10014","10387","11900","13044","14238","6979","5536","5036","3631","2284"
"2024-12","서대전네거리역","하차","353","0","0","0","17","1042","2002","4824","15232","8163","7795","8783","8397","9784","9574","11058","13408","16394","23145","10406","7771","8192","6430","3739"
"2024-12","시청역","승차","30","1","0","1","30","1031","2419","5525","10390","6867","7965","10119","9891","10761","11565","13365","16227","23316","32490","12644","13074","13335","10702","4627"
